Make,Model,Price,Miles,AgeYearsOld,Space,Color,State
Chevrolet,Impala,3950,105000,14,More Room,Maroon,MN
Toyota,Corolla,13399,33300,4,Less Room,Red,MN
Honda,Civic,8995,92412,7,Less Room,Black,IA
Toyota,Camry,16550,43754,2,More Room,Gray,MN
Chevrolet,Impala,7695,93000,8,More Room,Gray,MN
Chevrolet,Malibu,16500,36000,2,Less Room,Black,IA
Honda,Civic,13167,32679,6,Less Room,Gray,IA
Honda,Accord,17795,33900,3,More Room,Black,MN
Toyota,Camry,1850,193725,19,More Room,Beige,IA
Chevrolet,Malibu,1799,111842,19,Less Room,Beige,WI
Chevrolet,Impala,9992,106425,7,More Room,White,WI
Toyota,Camry,4995,217123,14,More Room,Gray,MN
Chevrolet,Malibu,13900,14950,5,Less Room,Silver,MN
Chevrolet,Impala,6995,113885,9,More Room,Silver,IA
Chevrolet,Malibu,8490,95721,8,Less Room,Silver,IA
Chevrolet,Impala,6500,143780,15,More Room,Black,WI
Honda,Accord,24999,18265,3,More Room,Red,MN
Chevrolet,Malibu,2499,240062,9,Less Room,Silver,MN
Chevrolet,Impala,12350,109639,5,More Room,White,MN
Chevrolet,Malibu,18499,8517,2,Less Room,Red,WI
Toyota,Camry,16941,45958,3,More Room,Silver,IA
Chevrolet,Impala,4995,153000,11,More Room,Silver,IA
Chevrolet,Impala,3995,195000,7,More Room,Silver,MN
Chevrolet,Impala,7195,105744,11,More Room,White,IA
Chevrolet,Impala,3895,131000,14,More Room,Gold,MN
Chevrolet,Impala,23395,30026,2,More Room,Silver,MN
Chevrolet,Malibu,14799,28541,4,Less Room,Silver,WI
Honda,Civic,6850,135071,9,Less Room,Red,IA
Chevrolet,Impala,21648,35837,3,More Room,Silver,IA
Honda,Civic,3695,165000,15,Less Room,White,MN
Honda,Accord,6900,142600,10,More Room,Blue,MN
Chevrolet,Impala,25452,19092,1,More Room,Silver,MN
Chevrolet,Impala,4250,160820,10,More Room,Blue,MN
Honda,Civic,2925,198648,12,Less Room,Black,MN
Toyota,Corolla,12990,83099,4,Less Room,Silver,MN
Toyota,Corolla,5850,153664,15,Less Room,White,IA
Chevrolet,Malibu,15471,22689,2,Less Room,Silver,IA
Honda,Accord,5995,152549,12,More Room,Red,MN
Chevrolet,Impala,23220,18050,1,More Room,Black,MN
Toyota,Camry,10995,101086,5,More Room,Silver,MN
Chevrolet,Malibu,13999,47960,3,Less Room,White,IA
Chevrolet,Malibu,12853,33482,6,Less Room,Silver,MN
Honda,Accord,15795,31543,4,More Room,Black,MN
Honda,Civic,16999,12144,3,Less Room,Gray,MN
Toyota,Camry,17000,27028,3,More Room,Silver,IA
Chevrolet,Impala,6500,170540,6,More Room,White,MN
Honda,Civic,11000,89468,9,Less Room,White,WI
Honda,Accord,12994,71345,5,More Room,Maroon,WI
Toyota,Camry,6999,99000,14,More Room,Black,MN
Toyota,Corolla,9495,80763,7,Less Room,Black,MN
