Make,Model,Price,Miles,AgeYearsOld,Space,Color,State
Chevrolet,Impala,7995,124000,7,More Room,Black,MN
Chevrolet,Impala,22984,10539,1,More Room,White,MN
Chevrolet,Impala,17495,75000,5,More Room,Blue,IA
Chevrolet,Impala,12500,45000,5,More Room,White,IA
Chevrolet,Malibu,10995,116177,4,Less Room,Silver,MN
Chevrolet,Malibu,6490,118478,10,Less Room,Blue,MN
Chevrolet,Impala,5295,132000,11,More Room,Black,MN
Honda,Civic,6995,79021,10,Less Room,Black,WI
Chevrolet,Malibu,16500,45059,2,Less Room,Blue,WI
Toyota,Camry,16299,32971,4,More Room,Silver,MN
Toyota,Camry,16488,45062,2,More Room,Silver,MN
Chevrolet,Impala,7000,101001,12,More Room,Silver,IA
Honda,Accord,13995,58050,4,More Room,Gray,WI
Chevrolet,Impala,2750,112864,16,More Room,Red,IA
Chevrolet,Impala,19495,18822,2,More Room,Black,IA
Honda,Civic,7999,63129,7,Less Room,Bronze,MN
Toyota,Camry,18497,39648,4,More Room,Gray,IA
Honda,Civic,7219,128004,7,Less Room,Silver,MN
Honda,Civic,14638,22963,4,Less Room,,MN
Chevrolet,Impala,5500,134149,16,More Room,Tan,IA
Chevrolet,Malibu,12095,65793,6,Less Room,White,IA
Chevrolet,Malibu,16999,18500,2,Less Room,Silver,IA
Honda,Civic,5999,156000,10,Less Room,Black,MN
Chevrolet,Malibu,15900,37000,3,Less Room,Blue,MN
Chevrolet,Impala,8975,96583,12,More Room,Black,MN
Honda,Accord,18699,32236,4,More Room,Gray,MN
Chevrolet,Malibu,13988,58950,4,Less Room,,MN
Chevrolet,Malibu,1950,130000,19,Less Room,,MN
Honda,Accord,4492,190785,12,More Room,Silver,MN
Honda,Civic,2999,215000,16,Less Room,Blue,MN
Chevrolet,Impala,10875,79318,5,More Room,Gray,IA
Chevrolet,Malibu,19995,17611,2,Less Room,Silver,IA
Honda,Civic,2499,163000,16,Less Room,Black,MN
Toyota,Camry,16750,36890,2,More Room,Gray,MN
Chevrolet,Impala,4995,120742,13,More Room,White,IA
Chevrolet,Malibu,2995,189000,15,Less Room,Silver,MN
Chevrolet,Impala,3990,135412,16,More Room,Silver,IA
Chevrolet,Malibu,16399,34543,3,Less Room,Pearl,WI
Honda,Accord,5995,173642,15,More Room,Silver,MN
Chevrolet,Malibu,9990,81794,7,Less Room,Black,IA
Chevrolet,Impala,15479,29629,5,More Room,Silver,MN
Chevrolet,Impala,12999,70585,2,More Room,White,MN
Toyota,Corolla,15441,25339,4,Less Room,Black,WI
Toyota,Corolla,15000,34254,2,Less Room,Gray,WI
Chevrolet,Impala,900,213429,17,More Room,White,IA
Toyota,Corolla,15405,29108,4,Less Room,Silver,WI
Chevrolet,Impala,4900,165000,11,More Room,Gray,MN
Toyota,Camry,1500,199000,21,More Room,,MN
Honda,Accord,7999,70667,8,More Room,Bronze,MN
Chevrolet,Malibu,10400,85506,6,Less Room,White,MN
Honda,Civic,1999,181000,18,Less Room,Silver,MN
Chevrolet,Malibu,13990,33101,8,Less Room,Silver,MN
Chevrolet,Impala,3995,168000,12,More Room,White,MN
Chevrolet,Impala,7499,93504,8,More Room,Tan,IA
Toyota,Camry,12499,77943,7,More Room,White,MN
Chevrolet,Impala,23000,18381,1,More Room,Black,IA
Chevrolet,Impala,17999,38077,2,More Room,,IA
Chevrolet,Malibu,13995,55116,4,Less Room,Silver,MN
Chevrolet,Malibu,16696,21757,4,Less Room,Gold,MN
Honda,Accord,7295,147499,10,More Room,Gray,WI
Chevrolet,Malibu,4995,137000,12,Less Room,Gray,MN
Toyota,Camry,14995,48155,5,More Room,Silver,MN
Chevrolet,Malibu,5900,131916,7,Less Room,Gold,IA
Chevrolet,Impala,10995,66255,5,More Room,White,MN
Chevrolet,Impala,2995,200000,13,More Room,White,MN
Chevrolet,Impala,23995,17079,1,More Room,Black,IA
Chevrolet,Malibu,12999,85798,4,Less Room,Tan,IA
Honda,Civic,3287,181959,16,Less Room,Pearl,MN
Toyota,Corolla,1500,146446,18,Less Room,Gold,MN
Chevrolet,Impala,20878,38769,4,More Room,Red,IA
Toyota,Camry,9495,106000,9,More Room,Black,MN
Chevrolet,Malibu,3375,136540,16,Less Room,Silver,IA
Chevrolet,Malibu,13995,60063,4,Less Room,White,MN
Chevrolet,Impala,10995,75694,6,More Room,Gray,MN
Chevrolet,Malibu,9993,94982,6,Less Room,Gold,WI
Toyota,Camry,15999,30726,5,More Room,Gray,MN
Chevrolet,Impala,2995,243000,18,More Room,Black,MN
Chevrolet,Malibu,19238,31529,3,Less Room,Blue,IA
Honda,Accord,17399,9743,4,More Room,Beige,MN
Chevrolet,Impala,2966,193653,13,More Room,Silver,MN
Chevrolet,Malibu,10999,24238,4,Less Room,Silver,MN
Chevrolet,Malibu,23995,4465,3,Less Room,Red,MN
Chevrolet,Impala,13995,35687,4,More Room,Black,IA
Chevrolet,Impala,4490,128030,11,More Room,Red,MN
Chevrolet,Impala,7375,72426,10,More Room,Silver,IA
Chevrolet,Impala,18500,40621,4,More Room,Silver,IA
Chevrolet,Malibu,8995,76000,7,Less Room,White,IA
Chevrolet,Impala,9490,71750,9,More Room,Gold,MN
Toyota,Corolla,14995,25819,4,Less Room,,MN
Chevrolet,Impala,11499,47346,5,More Room,Gray,WI
Chevrolet,Impala,21990,53129,4,More Room,Gray,MN
Toyota,Corolla,7500,93994,10,Less Room,Gray,IA
Toyota,Camry,3700,181258,17,More Room,Champagne,MN
Honda,Accord,20969,11918,5,More Room,Black,IA
Chevrolet,Malibu,18990,13047,4,Less Room,Bronze,IA
Chevrolet,Impala,7475,81364,12,More Room,White,MN
Chevrolet,Malibu,6995,120782,8,Less Room,Silver,MN
Toyota,Camry,14899,76553,4,More Room,Black,MN
Honda,Accord,5495,142830,16,More Room,Tan,MN
Toyota,Camry,4900,166387,16,More Room,Gray,MN
Honda,Accord,2100,182000,18,More Room,Gold,MN
Chevrolet,Malibu,14998,41785,5,Less Room,White,IA
Chevrolet,Impala,7999,76865,7,More Room,Black,MN
Toyota,Camry,2200,153000,20,More Room,Blue,MN
Chevrolet,Impala,20541,63310,4,More Room,Black,MN
Chevrolet,Impala,15999,46402,2,More Room,Red,MN
Toyota,Corolla,8990,67000,9,Less Room,Tan,MN
Toyota,Corolla,15799,13570,2,Less Room,Blue,MN
Toyota,Corolla,13495,20937,4,Less Room,Silver,MN
Honda,Accord,4477,132283,18,More Room,Silver,MN
Honda,Civic,19998,14565,2,Less Room,Blue,MN
Toyota,Camry,9890,78871,12,More Room,Blue,IA
Toyota,Camry,6900,161090,10,More Room,Gray,MN
Toyota,Camry,19443,30809,4,More Room,Black,WI
Honda,Accord,8199,101618,10,More Room,Black,MN
Honda,Accord,4995,174945,13,More Room,Silver,MN
Toyota,Corolla,7490,128481,9,Less Room,Black,IA
Chevrolet,Impala,23695,19135,1,More Room,White,MN
Chevrolet,Malibu,10999,59184,4,Less Room,Silver,MN
Toyota,Corolla,8500,61770,8,Less Room,Gray,MN
Toyota,Corolla,6699,128472,13,Less Room,,MN
Chevrolet,Impala,5982,156437,12,More Room,Black,MN
Honda,Accord,15699,39431,5,More Room,,MN
Chevrolet,Malibu,3499,157000,14,Less Room,Gray,MN
Chevrolet,Impala,22845,13350,1,More Room,Gray,MN
Chevrolet,Malibu,3999,154735,11,Less Room,Blue,WI
Chevrolet,Malibu,14129,34349,4,Less Room,Silver,MN
Toyota,Camry,16999,18442,4,More Room,Gray,MN
Toyota,Corolla,10350,59000,6,Less Room,Silver,MN
Chevrolet,Impala,7999,88485,11,More Room,Black,IA
Chevrolet,Impala,6993,106428,6,More Room,White,WI
Chevrolet,Impala,1995,215645,19,More Room,Silver,MN
Honda,Accord,19799,11923,3,More Room,,MN
Chevrolet,Impala,10700,43225,6,More Room,Black,MN
Toyota,Camry,17515,26268,4,More Room,White,WI
Chevrolet,Impala,5995,96000,11,More Room,Silver,MN
Chevrolet,Malibu,4250,112000,14,Less Room,Blue,MN
Honda,Civic,2999,145000,15,Less Room,Gray,MN
Toyota,Corolla,14762,30064,4,Less Room,Blue,IA
Chevrolet,Impala,11999,79103,4,More Room,Silver,WI
Chevrolet,Impala,16500,41714,2,More Room,Red,MN
Chevrolet,Impala,11595,58822,7,More Room,Red,IA
Honda,Accord,20699,17485,4,More Room,Beige,MN
Chevrolet,Malibu,14399,37530,3,Less Room,White,WI
Honda,Accord,20399,13387,3,More Room,Black,MN
Chevrolet,Malibu,13990,40000,4,Less Room,Silver,MN
Chevrolet,Malibu,7295,160509,8,Less Room,White,MN
Chevrolet,Impala,12000,73139,5,More Room,Silver,IA
Toyota,Camry,2495,182665,19,More Room,Gray,MN
Honda,Civic,19150,27564,3,Less Room,Blue,MN
Chevrolet,Impala,8999,67547,7,More Room,Black,IA
Chevrolet,Impala,23695,19059,1,More Room,Blue,MN
Chevrolet,Malibu,4595,118086,13,Less Room,Black,MN
Toyota,Camry,6990,134052,12,More Room,,MN
Honda,Civic,7650,76830,7,Less Room,Bronze,MN
Chevrolet,Impala,6988,104418,12,More Room,Blue,MN
Chevrolet,Malibu,9280,79571,7,Less Room,White,MN
Chevrolet,Malibu,13250,28862,5,Less Room,Blue,MN
Chevrolet,Impala,11395,42774,5,More Room,Maroon,IA
Chevrolet,Impala,12999,38208,4,More Room,Gray,WI
Chevrolet,Impala,5995,113659,12,More Room,Silver,MN
Toyota,Camry,18000,43969,4,More Room,Black,MN
Toyota,Camry,6599,147210,10,More Room,Blue,IA
Chevrolet,Impala,3495,172000,12,More Room,Silver,MN
Honda,Civic,6498,80659,11,Less Room,Blue,MN
Honda,Civic,3300,205000,13,Less Room,Blue,MN
Honda,Accord,2995,135000,19,More Room,Black,MN
Chevrolet,Impala,7495,173762,6,More Room,Black,IA
Honda,Accord,13990,73940,6,More Room,Silver,MN
Chevrolet,Malibu,15500,25368,2,Less Room,Silver,IA
Toyota,Corolla,5300,122000,10,Less Room,Silver,MN
Chevrolet,Impala,16498,132303,4,More Room,Black,IA
Honda,Accord,5995,113476,15,More Room,Red,MN
Chevrolet,Malibu,14283,51725,4,Less Room,Gold,MN
Chevrolet,Impala,6000,121423,11,More Room,Red,IA
Chevrolet,Impala,6999,94770,7,More Room,Blue,MN
Toyota,Corolla,15900,17100,3,Less Room,Silver,MN
Chevrolet,Impala,4495,159714,14,More Room,Burgundy,MN
Chevrolet,Malibu,3000,162730,16,Less Room,Beige,MN
Toyota,Corolla,15990,5000,2,Less Room,Blue,MN
Toyota,Camry,12595,68778,6,More Room,White,MN
Chevrolet,Impala,14785,38509,3,More Room,Silver,MN
Chevrolet,Impala,4990,147938,12,More Room,White,MN
Chevrolet,Malibu,8995,83208,7,Less Room,Silver,IA
Toyota,Camry,6059,168055,10,More Room,White,IA
Chevrolet,Impala,2999,179000,11,More Room,Blue,MN
Toyota,Corolla,12995,68615,5,Less Room,Black,MN
Chevrolet,Malibu,18977,10406,2,Less Room,Burgundy,WI
Honda,Civic,2280,209516,13,Less Room,Silver,MN
Chevrolet,Impala,11900,37600,4,More Room,White,MN
Honda,Accord,5495,183123,16,More Room,Black,MN
Chevrolet,Impala,12498,40546,6,More Room,Gray,IA
Chevrolet,Impala,15500,65568,3,More Room,Silver,IA
Chevrolet,Malibu,7988,139650,9,Less Room,Blue,MN
Chevrolet,Impala,8995,111204,8,More Room,Silver,IA
Chevrolet,Impala,5495,99000,12,More Room,Bronze,MN
Honda,Civic,20199,27077,3,Less Room,Blue,MN
Honda,Civic,10500,101461,4,Less Room,Brown,IA
Honda,Accord,1995,160000,20,More Room,Red,MN
Chevrolet,Impala,3000,218000,11,More Room,White,WI
Chevrolet,Malibu,1800,216346,14,Less Room,Green,MN
Honda,Civic,13390,38170,4,Less Room,Black,IA
Chevrolet,Impala,7800,114449,8,More Room,Silver,MN
Toyota,Camry,15950,35000,4,More Room,Black,MN
Chevrolet,Impala,26500,11400,3,More Room,Silver,IA
